cod_mun;Ano;n1;n2;n3
150030;2016;2,00;0,01;0,00
150034;2016;5,00;0,01;0,00
150040;2016;2,00;0,01;0,00
150050;2016;7,00;0,01;0,00
150060;2016;22,00;0,01;0,00
150070;2016;3,00;0,01;0,00
150080;2016;111,00;0,01;0,00
150085;2016;5,00;0,01;0,00
150090;2016;14,00;0,01;0,00
150095;2016;5,00;0,01;0,00
150100;2016;4,00;0,01;0,00
150110;2016;3,00;0,01;0,00
150120;2016;8,00;0,01;0,00
150125;2016;2,00;0,01;0,00
150130;2016;26,00;0,01;0,00
150140;2016;101,00;0,01;0,00
150145;2016;5,00;0,01;0,00
150150;2016;23,00;0,01;0,00
150157;2016;6,00;0,01;0,00
150160;2016;6,00;0,01;0,00
150170;2016;28,00;0,01;0,00
150172;2016;7,00;0,01;0,00
150175;2016;2,00;0,01;0,00
150178;2016;7,00;0,01;0,00
150180;2016;14,00;0,01;0,00
150190;2016;5,00;0,01;0,00
150200;2016;1,00;0,01;0,00
150195;2016;8,00;0,01;0,00
150210;2016;11,00;0,01;0,00
150215;2016;9,00;0,01;0,00
150220;2016;20,00;0,01;0,00
150230;2016;4,00;0,01;0,00
150240;2016;45,00;0,01;0,00
150250;2016;2,00;0,01;0,00
150260;2016;5,00;0,01;0,00
150270;2016;12,00;0,01;0,00
150275;2016;7,00;0,01;0,00
150276;2016;5,00;0,01;0,00
150277;2016;8,00;0,01;0,00
150280;2016;4,00;0,01;0,00
150285;2016;4,00;0,01;0,00
150290;2016;11,00;0,01;0,00
150293;2016;10,00;0,01;0,00
150295;2016;5,00;0,01;0,00
150300;2016;3,00;0,01;0,00
150304;2016;5,00;0,01;0,00
150307;2016;5,00;0,01;0,00
150309;2016;6,00;0,01;0,00
150310;2016;5,00;0,01;0,00
150320;2016;12,00;0,01;0,00
150330;2016;8,00;0,01;0,00
150340;2016;5,00;0,01;0,00
150345;2016;10,00;0,01;0,00
150350;2016;5,00;0,01;0,00
150360;2016;18,00;0,01;0,00
150370;2016;5,00;0,01;0,00
150375;2016;2,00;0,01;0,00
150380;2016;10,00;0,01;0,00
150390;2016;7,00;0,01;0,00
150400;2016;3,00;0,01;0,00
150405;2016;12,00;0,01;0,00
150410;2016;4,00;0,01;0,00
150420;2016;20,00;0,01;0,00
150430;2016;9,00;0,01;0,00
150440;2016;5,00;0,01;0,00
150442;2016;21,00;0,01;0,00
150445;2016;6,00;0,01;0,00
150450;2016;4,00;0,01;0,00
150460;2016;8,00;0,01;0,00
150470;2016;6,00;0,01;0,00
150475;2016;3,00;0,01;0,00
150480;2016;7,00;0,01;0,00
150490;2016;6,00;0,01;0,00
150495;2016;1,00;0,01;0,00
150497;2016;5,00;0,01;0,00
150500;2016;7,00;0,01;0,00
150503;2016;7,00;0,01;0,00
150506;2016;10,00;0,01;0,00
150510;2016;5,00;0,01;0,00
150520;2016;5,00;0,01;0,00
150530;2016;8,00;0,01;0,00
150540;2016;7,00;0,01;0,00
150543;2016;10,00;0,01;0,00
150548;2016;6,00;0,01;0,00
150549;2016;2,00;0,01;0,00
150550;2016;20,00;0,01;0,00
150553;2016;20,00;0,01;0,00
150555;2016;4,00;0,01;0,00
150560;2016;4,00;0,01;0,00
150563;2016;4,00;0,01;0,00
150565;2016;2,00;0,01;0,00
150570;2016;5,00;0,01;0,00
150580;2016;10,00;0,01;0,00
150590;2016;6,00;0,01;0,00
150600;2016;6,00;0,01;0,00
150610;2016;4,00;0,01;0,00
150611;2016;4,00;0,01;0,00
150613;2016;8,00;0,01;0,00
150616;2016;6,00;0,01;0,00
150618;2016;10,00;0,01;0,00
150619;2016;5,00;0,01;0,00
150620;2016;12,00;0,01;0,00
150630;2016;5,00;0,01;0,00
150635;2016;6,00;0,01;0,00
150640;2016;2,00;0,01;0,00
